Title,Year Span,Genre,Run Time,Rating,Votes
Game of Thrones,(2011–2019),"Action, Adventure, Drama",57 min,9.3,"1,821,032"
Stranger Things,(2016– ),"Drama, Fantasy, Horror",51 min,8.7,"862,315"
The Walking Dead,(2010–2022),"Drama, Horror, Thriller",44 min,8.2,"873,781"
13 Reasons Why,(2017–2020),"Drama, Mystery, Thriller",60 min,7.6,"262,448"
The 100,(2014–2020),"Drama, Mystery, Sci-Fi",43 min,7.6,"223,735"
Orange Is the New Black,(2013–2019),"Comedy, Crime, Drama",59 min,8,"282,515"
Riverdale,(2017– ),"Crime, Drama, Mystery",45 min,6.8,"124,867"
Grey's Anatomy,(2005– ),"Drama, Romance",41 min,7.5,"260,715"
The Flash,(2014– ),"Action, Adventure, Drama",43 min,7.7,"314,065"
Arrow,(2012–2020),"Action, Adventure, Crime",42 min,7.5,"412,180"
Money Heist,(2017–2021),"Action, Crime, Mystery",70 min,8.3,"329,698"
The Big Bang Theory,(2007–2019),"Comedy, Romance",22 min,8.1,"736,788"
Black Mirror,(2011– ),"Drama, Sci-Fi, Thriller",60 min,8.8,"461,788"
Sherlock,(2010–2017),"Crime, Drama, Mystery",88 min,9.1,"829,235"
Vikings,(2013–2020),"Action, Adventure, Drama",44 min,8.5,"450,842"
Pretty Little Liars,(2010–2017),"Drama, Mystery, Romance",44 min,7.4,"154,612"
The Vampire Diaries,(2009–2017),"Drama, Fantasy, Horror",43 min,7.7,"290,064"
American Horror Story,(2011– ),"Drama, Horror, Thriller",60 min,8,"282,301"
Breaking Bad,(2008–2013),"Crime, Drama, Thriller",49 min,9.4,"1,523,539"
Lucifer,(2016– ),"Crime, Drama, Fantasy",42 min,8.1,"250,947"
Supernatural,(2005–2020),"Drama, Fantasy, Horror",44 min,8.4,"399,500"
Prison Break,(2005–2017),"Action, Crime, Drama",44 min,8.3,"487,181"
How to Get Away with Murder,(2014–2020),"Crime, Drama, Mystery",43 min,8.1,"134,068"
Teen Wolf,(2011–2017),"Action, Drama, Fantasy",41 min,7.6,"130,831"
The Simpsons,(1989– ),"Animation, Comedy",22 min,8.6,"372,223"
Once Upon a Time,(2011–2018),"Adventure, Fantasy, Romance",60 min,7.7,"211,115"
Narcos,(2015–2017),"Biography, Crime, Drama",49 min,8.8,"370,224"
Daredevil,(2015–2018),"Action, Crime, Drama",54 min,8.6,"370,652"
Friends,(1994–2004),"Comedy, Romance",22 min,8.9,"861,939"
How I Met Your Mother,(2005–2014),"Comedy, Romance",22 min,8.3,"617,399"
Suits,(2011–2019),"Comedy, Drama",44 min,8.4,"371,015"
Mr. Robot,(2015–2019),"Crime, Drama, Thriller",49 min,8.5,"341,880"
The Originals,(2013–2018),"Drama, Fantasy, Horror",45 min,8.2,"120,937"
Supergirl,(2015–2021),"Action, Adventure, Drama",43 min,6.2,"114,183"
Gossip Girl,(2007–2012),"Drama, Romance",42 min,7.4,"157,524"
Sense8,(2015–2018),"Drama, Mystery, Sci-Fi",60 min,8.3,"142,634"
Gotham,(2014–2019),"Action, Crime, Drama",42 min,7.8,"214,778"
Westworld,(2016– ),"Drama, Mystery, Sci-Fi",62 min,8.6,"439,315"
Jessica Jones,(2015–2019),"Action, Crime, Drama",56 min,7.9,"196,273"
Modern Family,(2009–2020),"Comedy, Drama, Romance",22 min,8.4,"370,405"
Rick and Morty,(2013– ),"Animation, Adventure, Comedy",23 min,9.2,"394,315"
Shadowhunters,(2016–2019),"Action, Drama, Fantasy",42 min,6.6,"55,308"
The End of the F***ing World,(2017–2019),"Adventure, Comedy, Crime",25 min,8.1,"153,993"
House of Cards,(2013–2018),Drama,51 min,8.7,"473,409"
Dark,(2017–2020),"Crime, Drama, Mystery",60 min,8.8,"304,309"
Elite,(2018– ),"Crime, Drama, Thriller",60 min,7.5,"53,440"
Sex Education,(2019– ),"Comedy, Drama",45 min,8.3,"170,625"
Shameless,(2011–2021),"Comedy, Drama",46 min,8.5,"210,809"
New Girl,(2011–2018),Comedy,22 min,7.7,"197,699"
Agents of S.H.I.E.L.D.,(2013–2020),"Action, Adventure, Drama",45 min,7.5,"203,435"
You,(2018– ),"Crime, Drama, Romance",45 min,7.7,"153,200"
Dexter,(2006–2021),"Crime, Drama, Mystery",53 min,8.6,"657,823"
Fear the Walking Dead,(2015– ),"Drama, Horror, Sci-Fi",44 min,6.9,"116,199"
Family Guy,(1999– ),"Animation, Comedy",22 min,8.1,"309,913"
The Blacklist,(2013– ),"Crime, Drama, Mystery",43 min,8,"207,192"
Lost,(2004–2010),"Adventure, Drama, Fantasy",44 min,8.3,"506,585"
Peaky Blinders,(2013– ),"Crime, Drama",60 min,8.8,"378,841"
House,(2004–2012),"Drama, Mystery",44 min,8.7,"422,202"
Quantico,(2015–2018),"Crime, Drama, Mystery",42 min,6.7,"57,818"
Orphan Black,(2013–2017),"Action, Drama, Sci-Fi",44 min,8.3,"103,344"
Homeland,(2011–2020),"Crime, Drama, Mystery",55 min,8.3,"319,970"
Blindspot,(2015–2020),"Action, Crime, Drama",42 min,7.4,"67,578"
DC's Legends of Tomorrow,(2016– ),"Action, Adventure, Drama",42 min,6.8,"94,319"
The Handmaid's Tale,(2017– ),"Drama, Sci-Fi, Thriller",60 min,8.4,"185,752"
Chilling Adventures of Sabrina,(2018–2020),"Drama, Fantasy, Horror",60 min,7.5,"81,111"
The Good Doctor,(2017– ),Drama,41 min,8.1,"67,390"
Jane the Virgin,(2014–2019),Comedy,60 min,7.8,"40,544"
Glee,(2009–2015),"Comedy, Drama, Music",44 min,6.7,"138,712"
South Park,(1997– ),"Animation, Comedy",22 min,8.7,"337,199"
Brooklyn Nine-Nine,(2013–2022),"Comedy, Crime",22 min,8.4,"241,686"
Under the Dome,(2013–2015),"Drama, Mystery, Sci-Fi",43 min,6.6,"102,106"
The Umbrella Academy,(2019– ),"Action, Adventure, Comedy",60 min,8,"170,349"
True Detective,(2014–2019),"Crime, Drama, Mystery",55 min,8.9,"510,257"
The OA,(2016–2019),"Drama, Fantasy, Mystery",60 min,7.8,"93,455"
Desperate Housewives,(2004–2012),"Comedy, Drama, Mystery",45 min,7.5,"118,460"
Better Call Saul,(2015– ),"Crime, Drama",46 min,8.7,"340,440"
Bates Motel,(2013–2017),"Drama, Horror, Mystery",45 min,8.1,"99,090"
The Punisher,(2017–2019),"Action, Crime, Drama",53 min,8.5,"191,201"
Atypical,(2017–2021),"Comedy, Drama",30 min,8.3,"64,140"
Dynasty,(2017– ),Drama,42 min,7.3,"16,043"
This Is Us,(2016–2022),"Comedy, Drama, Romance",45 min,8.7,"114,167"
The Good Place,(2016–2020),"Comedy, Drama, Fantasy",22 min,8.2,"123,439"
Iron Fist,(2017–2018),"Action, Adventure, Crime",55 min,6.5,"117,389"
The Rain,(2018–2020),"Drama, Sci-Fi, Thriller",45 min,6.3,"32,247"
Mindhunter,(2017–2019),"Crime, Drama, Thriller",60 min,8.6,"229,793"
Revenge,(2011–2015),"Drama, Mystery, Thriller",44 min,7.8,"114,036"
Luke Cage,(2016–2018),"Action, Crime, Drama",55 min,7.3,"118,996"
Scandal,(2012–2018),"Drama, Thriller",43 min,7.7,"68,161"
The Defenders,(2017),"Action, Adventure, Crime",50 min,7.3,"93,330"
Big Little Lies,(2017–2019),"Crime, Drama, Mystery",60 min,8.5,"164,417"
Insatiable,(2018–2019),"Comedy, Drama, Thriller",45 min,6.5,"23,571"
The Mentalist,(2008–2015),"Crime, Drama, Mystery",43 min,8.1,"168,581"
The Crown,(2016– ),"Biography, Drama, History",58 min,8.6,"165,760"
Chernobyl,(2019),"Drama, History, Thriller",330 min,9.4,"580,475"
iZombie,(2015–2019),"Comedy, Crime, Drama",42 min,7.8,"61,556"
Reign,(2013–2017),"Drama, Fantasy",42 min,7.5,"44,534"
A Series of Unfortunate Events,(2017–2019),"Adventure, Comedy, Drama",50 min,7.8,"55,022"
Criminal Minds,(2005–2020),"Crime, Drama, Mystery",42 min,8,"167,378"
Scream: The TV Series,(2015–2019),"Comedy, Crime, Drama",45 min,7.1,"34,851"
The Haunting of Hill House,(2018),"Drama, Horror, Mystery",572 min,8.6,"191,103"
